"common_name","cpue_kg_per_ha_der","date_dim$full_date","date_dim$year","depth_m","field_identified_taxonomy_dim$scientific_name","latitude_dd","leg","longitude_dd","partition","pass","performance","project","sampling_end_hhmmss","sampling_start_hhmmss","scientific_name","station_code","statistical_partition_dim$statistical_partition_type","subsample_count","subsample_wt_kg","target_station_design_dim$stn_invalid_for_trawl_date_whid","total_catch_numbers","total_catch_wt_kg","trawl_id","vessel"
"darkblotched rockfish","13.576671983390","2004-06-26 00:00:00","2004","350.8000","Sebastes crameri","40.90500000","3","-124.46388889","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","144544","142714","Sebastes crameri","11815","NA","26","25.0100","0","26","25.0100","200403010103","Ms. Julie"
"yelloweye rockfish","2.789148992284","2004-06-29 00:00:00","2004","137.3000","Sebastes ruberrimus","39.87833333","3","-124.10194444","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","194108","192150","Sebastes ruberrimus","12642","NA","4","4.6500","0","4","4.6500","200403010107","Ms. Julie"
"darkblotched rockfish","0.855101495810","2004-07-01 00:00:00","2004","288.6000","Sebastes crameri","39.03888889","3","-123.95388889","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","061002","055320","Sebastes crameri","13196","NA","3","1.4500","0","3","1.4500","200403010112","Ms. Julie"
"darkblotched rockfish","0.288094569799","2004-07-01 00:00:00","2004","117.4000","Sebastes crameri","38.51583333","3","-123.43805556","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","121556","115902","Sebastes crameri","13455","NA","7","0.4500","0","7","0.4500","200403010114","Ms. Julie"
"darkblotched rockfish","0.284446255793","2004-07-02 00:00:00","2004","139.7000","Sebastes crameri","38.20666667","3","-123.33750000","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","092802","091144","Sebastes crameri","13654","NA","3","0.4400","0","3","0.4400","200403010118","Ms. Julie"
"darkblotched rockfish","1.002732469266","2004-07-12 00:00:00","2004","291.9000","Sebastes crameri","34.75222222","4","-120.93388889","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","170152","164546","Sebastes crameri","16366","NA","5","1.7000","0","5","1.7000","200403010151","Ms. Julie"
"darkblotched rockfish","0.087140806686","2004-07-13 00:00:00","2004","204.1000","Sebastes crameri","34.94416667","4","-120.88694444","NA","1","Satisfactory","Groundfish Slope and Shelf Combination Survey","061218","055542","Sebastes crameri","16142","NA","1","0.1600","0","1","0.1600","200403010152","Ms. Julie"
"darkblotched rockfish","2.134361633325","2004-08-22 00:00:00","2004","246.3000","Sebastes crameri","46.56472222","1","-124.55083333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","073322","071210","Sebastes crameri","7032","NA","8","3.7000","0","8","3.7000","200403015002","BJ Thomas"
"darkblotched rockfish","0.547681007762","2004-08-22 00:00:00","2004","109.0000","Sebastes crameri","46.78527778","1","-124.56833333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","120135","114041","Sebastes crameri","6808","NA","15","1.0500","0","15","1.0500","200403015003","BJ Thomas"
"darkblotched rockfish","0.287819277555","2004-08-23 00:00:00","2004","109.9000","Sebastes crameri","46.93666667","1","-124.64388889","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","152842","151018","Sebastes crameri","6687","NA","7","0.4600","0","7","0.4600","200403015008","BJ Thomas"
"yelloweye rockfish","0.584125359898","2004-08-24 00:00:00","2004","180.9000","Sebastes ruberrimus","47.53916667","1","-124.96194444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","065724","063536","Sebastes ruberrimus","5882","NA","1","1.3500","0","1","1.3500","200403015010","BJ Thomas"
"Pacific halibut","4.359810051162","2004-08-25 00:00:00","2004","82.5000","Hippoglossus stenolepis","47.66805556","1","-124.77666667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","084226","082314","Hippoglossus stenolepis","5685","NA","2","7.1000","0","2","7.1000","200403015014","BJ Thomas"
"darkblotched rockfish","0.104045020050","2004-08-25 00:00:00","2004","115.4000","Sebastes crameri","47.60305556","1","-124.85583333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","103654","101624","Sebastes crameri","5786","NA","2","0.1900","0","2","0.1900","200403015015","BJ Thomas"
"darkblotched rockfish","27.296559321252","2004-08-25 00:00:00","2004","172.1000","Sebastes crameri","47.67027778","1","-125.04472222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","134401","131807","Sebastes crameri","5678","NA","97","33.9700","0","171","59.9900","200403015016","BJ Thomas"
"Pacific halibut","13.462006626434","2004-08-26 00:00:00","2004","151.2000","Hippoglossus stenolepis","48.20583333","1","-125.51305556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","070117","063947","Hippoglossus stenolepis","4822","NA","","","0","","23.4130","200403015018","BJ Thomas"
"Pacific halibut","12.158822509266","2004-08-26 00:00:00","2004","132.6000","Hippoglossus stenolepis","48.10555556","1","-125.47472222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","110508","104314","Hippoglossus stenolepis","5020","NA","7","26.2000","0","7","26.2000","200403015019","BJ Thomas"
"darkblotched rockfish","21.707694637974","2004-08-28 00:00:00","2004","154.0000","Sebastes crameri","47.36388889","1","-124.76944444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","064931","063043","Sebastes crameri","6139","NA","99","41.8000","0","99","41.8000","200403015026","BJ Thomas"
"darkblotched rockfish","1.445186412089","2004-08-28 00:00:00","2004","130.3000","Sebastes crameri","46.69472222","1","-124.57833333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","145955","144213","Sebastes crameri","6904","NA","17","2.0500","0","17","2.0500","200403015028","BJ Thomas"
"darkblotched rockfish","0.121893754825","2004-08-31 00:00:00","2004","128.0000","Sebastes crameri","46.07138889","2","-124.40416667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","195334","193616","Sebastes crameri","7543","NA","3","0.2000","0","3","0.2000","200403015030","BJ Thomas"
"darkblotched rockfish","0.205410385185","2004-09-01 00:00:00","2004","251.9000","Sebastes crameri","45.77083333","2","-124.66583333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","070936","064906","Sebastes crameri","7870","NA","1","0.4500","0","1","0.4500","200403015031","BJ Thomas"
"darkblotched rockfish","0.351893272146","2004-09-01 00:00:00","2004","235.3000","Sebastes crameri","45.72944444","2","-124.66333333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","111357","105145","Sebastes crameri","7906","NA","2","0.8500","0","2","0.8500","200403015032","BJ Thomas"
"darkblotched rockfish","1.102195591724","2004-09-01 00:00:00","2004","275.1000","Sebastes crameri","45.67000000","2","-124.60555556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","153809","151739","Sebastes crameri","7976","NA","5","2.2500","0","5","2.2500","200403015033","BJ Thomas"
"darkblotched rockfish","3.293898099900","2004-09-02 00:00:00","2004","194.1000","Sebastes crameri","45.36972222","2","-124.34083333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","140150","134144","Sebastes crameri","8295","NA","16","6.8500","0","16","6.8500","200403015038","BJ Thomas"
"darkblotched rockfish","1.499951405863","2004-09-02 00:00:00","2004","219.6000","Sebastes crameri","45.40388889","2","-124.38805556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","172342","170330","Sebastes crameri","8258","NA","9","2.9500","0","9","2.9500","200403015039","BJ Thomas"
"darkblotched rockfish","0.040947830919","2004-09-04 00:00:00","2004","130.7000","Sebastes crameri","45.06833333","2","-124.19500000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","071033","065321","Sebastes crameri","8612","NA","1","0.0500","0","1","0.0500","200403015045","BJ Thomas"
"darkblotched rockfish","2.161218277957","2004-09-04 00:00:00","2004","273.1000","Sebastes crameri","45.03083333","2","-124.40527778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","093129","091435","Sebastes crameri","8641","NA","12","4.4000","0","12","4.4000","200403015046","BJ Thomas"
"Pacific halibut","7.097637299201","2004-09-04 00:00:00","2004","273.1000","Hippoglossus stenolepis","45.03083333","2","-124.40527778","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","093129","091435","Hippoglossus stenolepis","8641","NA","1","14.4500","0","1","14.4500","200403015046","BJ Thomas"
"darkblotched rockfish","2.561209727066","2004-09-04 00:00:00","2004","313.1000","Sebastes crameri","44.93750000","2","-124.47416667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","123329","121511","Sebastes crameri","8744","NA","11","4.7100","0","11","4.7100","200403015047","BJ Thomas"
"darkblotched rockfish","1.792612449686","2004-09-04 00:00:00","2004","236.7000","Sebastes crameri","44.83027778","2","-124.54250000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","152445","150551","Sebastes crameri","8846","NA","2","0.6500","0","12","3.8640","200403015048","BJ Thomas"
"Pacific halibut","7.956341488643","2004-09-04 00:00:00","2004","236.7000","Hippoglossus stenolepis","44.83027778","2","-124.54250000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","152445","150551","Hippoglossus stenolepis","8846","NA","3","17.1500","0","3","17.1500","200403015048","BJ Thomas"
"darkblotched rockfish","0.084300672234","2004-09-04 00:00:00","2004","141.9000","Sebastes crameri","44.86083333","2","-124.32722222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","175126","173332","Sebastes crameri","8817","NA","2","0.1500","0","2","0.1500","200403015049","BJ Thomas"
"yelloweye rockfish","1.855595452121","2004-09-05 00:00:00","2004","250.2000","Sebastes ruberrimus","44.67166667","2","-124.70666667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","184752","182752","Sebastes ruberrimus","9008","NA","1","2.6000","0","1","2.6000","200403015055","BJ Thomas"
"Pacific halibut","3.501902709567","2004-09-06 00:00:00","2004","230.1000","Hippoglossus stenolepis","44.43805556","2","-124.76861111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","171352","165458","Hippoglossus stenolepis","9221","NA","1","8.0000","0","1","8.0000","200403015059","BJ Thomas"
"darkblotched rockfish","0.481511622565","2004-09-06 00:00:00","2004","230.1000","Sebastes crameri","44.43805556","2","-124.76861111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","171352","165458","Sebastes crameri","9221","NA","3","1.1000","0","3","1.1000","200403015059","BJ Thomas"
"yelloweye rockfish","3.725241633826","2004-09-07 00:00:00","2004","129.7000","Sebastes ruberrimus","44.28361111","2","-124.78555556","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","081035","075129","Sebastes ruberrimus","9373","NA","3","8.4500","0","3","8.4500","200403015061","BJ Thomas"
"darkblotched rockfish","24.688714019474","2004-09-07 00:00:00","2004","127.5000","Sebastes crameri","44.07527778","2","-124.56000000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","112557","110633","Sebastes crameri","9559","NA","25","10.5000","0","126","52.9720","200403015062","BJ Thomas"
"darkblotched rockfish","0.381228911116","2004-09-09 00:00:00","2004","294.8000","Sebastes crameri","43.68055556","2","-124.62388889","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","072815","070821","Sebastes crameri","9929","NA","2","0.7500","0","2","0.7500","200403015071","BJ Thomas"
"darkblotched rockfish","0.886932113828","2004-09-09 00:00:00","2004","144.1000","Sebastes crameri","43.54500000","2","-124.50361111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","130452","124422","Sebastes crameri","10051","NA","12","1.6000","0","12","1.6000","200403015073","BJ Thomas"
"Pacific halibut","3.658594969541","2004-09-09 00:00:00","2004","144.1000","Hippoglossus stenolepis","43.54500000","2","-124.50361111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","130452","124422","Hippoglossus stenolepis","10051","NA","1","6.6000","0","1","6.6000","200403015073","BJ Thomas"
"darkblotched rockfish","1.822254798662","2004-09-09 00:00:00","2004","202.4000","Sebastes crameri","43.45555556","2","-124.61750000","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","161335","155411","Sebastes crameri","10132","NA","11","3.9000","0","11","3.9000","200403015074","BJ Thomas"
"darkblotched rockfish","1.316919750793","2004-09-10 00:00:00","2004","273.7000","Sebastes crameri","43.12666667","2","-124.82583333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","071539","065503","Sebastes crameri","10356","NA","5","2.6500","0","5","2.6500","200403015076","BJ Thomas"
"darkblotched rockfish","11.894387731796","2004-09-10 00:00:00","2004","214.5000","Sebastes crameri","42.59750000","2","-124.70944444","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","124915","122851","Sebastes crameri","10643","NA","45","21.7000","0","45","21.7000","200403015077","BJ Thomas"
"darkblotched rockfish","1.181112561458","2004-09-15 00:00:00","2004","156.9000","Sebastes crameri","41.65416667","3","-124.44833333","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","182557","180445","Sebastes crameri","11245","NA","8","2.5000","0","8","2.5000","200403015084","BJ Thomas"
"darkblotched rockfish","0.266400047149","2004-09-16 00:00:00","2004","411.1000","Sebastes crameri","41.00333333","3","-124.43916667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","140228","134304","Sebastes crameri","11751","NA","1","0.5000","0","1","0.5000","200403015087","BJ Thomas"
"Pacific halibut","3.836330885832","2004-09-17 00:00:00","2004","126.6000","Hippoglossus stenolepis","40.73638889","3","-124.47472222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","072345","070245","Hippoglossus stenolepis","11902","NA","1","7.7500","0","1","7.7500","200403015090","BJ Thomas"
"darkblotched rockfish","0.767266177166","2004-09-17 00:00:00","2004","126.6000","Sebastes crameri","40.73638889","3","-124.47472222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","072345","070245","Sebastes crameri","11902","NA","9","1.5500","0","9","1.5500","200403015090","BJ Thomas"
"Pacific halibut","1.983993181545","2004-09-17 00:00:00","2004","71.2000","Hippoglossus stenolepis","40.57111111","3","-124.46666667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","105820","104014","Hippoglossus stenolepis","11969","NA","1","3.6000","0","1","3.6000","200403015091","BJ Thomas"
"darkblotched rockfish","0.123917872290","2004-09-19 00:00:00","2004","118.1000","Sebastes crameri","39.17888889","3","-123.86666667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","182837","180907","Sebastes crameri","13132","NA","4","0.2500","0","4","0.2500","200403015099","BJ Thomas"
"darkblotched rockfish","0.026124766478","2004-09-21 00:00:00","2004","113.3000","Sebastes crameri","38.17972222","3","-123.25416667","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","102603","100815","Sebastes crameri","13679","NA","2","0.0500","0","2","0.0500","200403015107","BJ Thomas"
"darkblotched rockfish","0.064477120000","2004-09-21 00:00:00","2004","100.1000","Sebastes crameri","38.24361111","3","-123.21722222","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","131613","125901","Sebastes crameri","13636","NA","2","0.1000","0","2","0.1000","200403015108","BJ Thomas"
"darkblotched rockfish","30.791555213677","2004-09-23 00:00:00","2004","183.2000","Sebastes crameri","37.42916667","3","-122.87638889","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","104306","102048","Sebastes crameri","14151","NA","37","9.4500","0","228","58.2790","200403015115","BJ Thomas"
"darkblotched rockfish","0.861566652977","2004-10-01 00:00:00","2004","177.1000","Sebastes crameri","35.32305556","4","-121.01861111","NA","2","Satisfactory","Groundfish Slope and Shelf Combination Survey","150228","144152","Sebastes crameri","15763","NA","17","1.9000","0","17","1.9000","200403015132","BJ Thomas"
"darkblotched rockfish","0.120581995890","2004-06-01 00:00:00","2004","350.9000","Sebastes crameri","36.57944444","1","-122.01027778","NA","","Satisfactory","Groundfish Triennial Shelf Survey","120216","113213","Sebastes crameri","79-013","NA","2","0.4000","0","2","0.4000","200406014011","Morning Star"
"darkblotched rockfish","0.041111540998","2004-06-02 00:00:00","2004","232.5000","Sebastes crameri","35.22888889","1","-121.00166667","NA","","Satisfactory","Groundfish Triennial Shelf Survey","161652","154546","Sebastes crameri","87-087","NA","1","0.1500","0","1","0.1500","200406014018","Morning Star"
"darkblotched rockfish","1.431052522900","2004-06-03 00:00:00","2004","265.0000","Sebastes crameri","34.93138889","1","-120.92166667","NA","","Satisfactory","Groundfish Triennial Shelf Survey","190132","183520","Sebastes crameri","89-098","NA","15","4.6500","0","15","4.6500","200406014024","Morning Star"
"darkblotched rockfish","0.265863433063","2004-06-04 00:00:00","2004","257.9000","Sebastes crameri","34.57527778","1","-120.82250000","NA","","Satisfactory","Groundfish Triennial Shelf Survey","111907","104713","Sebastes crameri","91-056","NA","1","0.2400","0","4","1.0120","200406014027","Morning Star"
"darkblotched rockfish","0.178901045874","2004-06-05 00:00:00","2004","401.2000","Sebastes crameri","34.90750000","1","-120.98694444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","131730","124543","Sebastes crameri","89-060","NA","1","0.6500","0","1","0.6500","200406014033","Morning Star"
"darkblotched rockfish","0.572277191624","2004-06-05 00:00:00","2004","290.3000","Sebastes crameri","34.89250000","1","-120.93694444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","190207","183031","Sebastes crameri","89-089","NA","7","2.1500","0","7","2.1500","200406014035","Morning Star"
"darkblotched rockfish","0.161008799558","2004-06-06 00:00:00","2004","303.7000","Sebastes crameri","35.55416667","1","-121.29555556","NA","","Satisfactory","Groundfish Triennial Shelf Survey","111744","104632","Sebastes crameri","85-039","NA","2","0.5500","0","2","0.5500","200406014038","Morning Star"
"darkblotched rockfish","0.328842919169","2004-06-07 00:00:00","2004","351.9000","Sebastes crameri","36.25250000","1","-122.01388889","NA","","Satisfactory","Groundfish Triennial Shelf Survey","194031","191831","Sebastes crameri","81-033","NA","3","0.8000","0","3","0.8000","200406014043","Morning Star"
"darkblotched rockfish","0.268111945972","2004-06-08 00:00:00","2004","338.2000","Sebastes crameri","36.22694444","1","-121.96583333","NA","","Satisfactory","Groundfish Triennial Shelf Survey","062306","060454","Sebastes crameri","81-038","NA","2","0.5000","0","2","0.5000","200406014044","Morning Star"
"darkblotched rockfish","12.705810857577","2004-06-08 00:00:00","2004","248.2000","Sebastes crameri","36.92333333","1","-122.31444444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","145227","142557","Sebastes crameri","77-006","NA","110","39.0000","0","110","39.0000","200406014045","Morning Star"
"darkblotched rockfish","0.228201507929","2004-06-10 00:00:00","2004","301.6000","Sebastes crameri","37.23861111","1","-122.86888889","NA","","Satisfactory","Groundfish Triennial Shelf Survey","093527","090709","Sebastes crameri","75-049","NA","3","0.7500","0","3","0.7500","200406014055","Morning Star"
"darkblotched rockfish","0.288948658586","2004-06-10 00:00:00","2004","209.7000","Sebastes crameri","37.57944444","1","-123.01444444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","192150","185502","Sebastes crameri","73-023","NA","3","0.9000","0","3","0.9000","200406014058","Morning Star"
"Pacific halibut","1.055789901827","2004-06-15 00:00:00","2004","88.9000","Hippoglossus stenolepis","38.56555556","1","-123.39888889","NA","","Satisfactory","Groundfish Triennial Shelf Survey","094655","091431","Hippoglossus stenolepis","67-188","NA","","","0","","4.3000","200406014075","Morning Star"
"darkblotched rockfish","0.185475511333","2004-06-15 00:00:00","2004","136.3000","Sebastes crameri","38.56777778","1","-123.53972222","NA","","Satisfactory","Groundfish Triennial Shelf Survey","145931","142837","Sebastes crameri","67-105","NA","7","0.7000","0","7","0.7000","200406014077","Morning Star"
"darkblotched rockfish","0.013768337638","2004-06-16 00:00:00","2004","195.8000","Sebastes crameri","38.59277778","1","-123.67444444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","081328","074234","Sebastes crameri","67-021","NA","1","0.0500","0","1","0.0500","200406014081","Morning Star"
"yelloweye rockfish","1.500748802538","2004-06-16 00:00:00","2004","195.8000","Sebastes ruberrimus","38.59277778","1","-123.67444444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","081328","074234","Sebastes ruberrimus","67-021","NA","3","5.4500","0","3","5.4500","200406014081","Morning Star"
"darkblotched rockfish","5.387211921943","2004-06-16 00:00:00","2004","289.0000","Sebastes crameri","38.89666667","1","-123.94305556","NA","","Satisfactory","Groundfish Triennial Shelf Survey","170157","163033","Sebastes crameri","65-029","NA","60","22.7500","0","60","22.7500","200406014084","Morning Star"
"darkblotched rockfish","0.431858673198","2004-06-17 00:00:00","2004","142.4000","Sebastes crameri","39.24250000","1","-123.92388889","NA","","Satisfactory","Groundfish Triennial Shelf Survey","124723","121929","Sebastes crameri","63-058","NA","10","1.6500","0","10","1.6500","200406014089","Morning Star"
"darkblotched rockfish","17.698316691365","2004-06-17 00:00:00","2004","246.4000","Sebastes crameri","39.25027778","1","-123.96250000","NA","","Satisfactory","Groundfish Triennial Shelf Survey","151824","144648","Sebastes crameri","63-034","NA","198","70.6900","0","198","70.6900","200406014090","Morning Star"
"darkblotched rockfish","0.021717741239","2004-06-18 00:00:00","2004","117.6000","Sebastes crameri","39.60416667","1","-123.88277778","NA","","Satisfactory","Groundfish Triennial Shelf Survey","064840","061710","Sebastes crameri","61-082","NA","1","0.1000","0","1","0.1000","200406014092","Morning Star"
"darkblotched rockfish","0.761519324770","2004-06-18 00:00:00","2004","156.5000","Sebastes crameri","39.58916667","1","-123.93833333","NA","","Satisfactory","Groundfish Triennial Shelf Survey","083638","080538","Sebastes crameri","61-051","NA","15","3.4500","0","15","3.4500","200406014093","Morning Star"
"darkblotched rockfish","9.428763877490","2004-06-18 00:00:00","2004","239.4000","Sebastes crameri","39.61000000","1","-123.96777778","NA","","Satisfactory","Groundfish Triennial Shelf Survey","135645","132803","Sebastes crameri","61-022","NA","97","38.7500","0","97","38.7500","200406014095","Morning Star"
"darkblotched rockfish","5.888179416521","2004-06-18 00:00:00","2004","258.3000","Sebastes crameri","39.87722222","1","-124.13277778","NA","","Satisfactory","Groundfish Triennial Shelf Survey","172451","165733","Sebastes crameri","59-011","NA","40","21.1500","0","40","21.1500","200406014096","Morning Star"
"yelloweye rockfish","0.903940465123","2004-06-19 00:00:00","2004","122.6000","Sebastes ruberrimus","39.90111111","1","-124.10361111","NA","","Satisfactory","Groundfish Triennial Shelf Survey","071954","065318","Sebastes ruberrimus","59-044","NA","2","4.4000","0","2","4.4000","200406014097","Morning Star"
"Pacific halibut","0.595778942922","2004-06-19 00:00:00","2004","122.6000","Hippoglossus stenolepis","39.90111111","1","-124.10361111","NA","","Satisfactory","Groundfish Triennial Shelf Survey","071954","065318","Hippoglossus stenolepis","59-044","NA","1","2.9000","0","1","2.9000","200406014097","Morning Star"
"darkblotched rockfish","0.316866335438","2004-06-19 00:00:00","2004","436.8000","Sebastes crameri","40.23638889","1","-124.58611111","NA","","Satisfactory","Groundfish Triennial Shelf Survey","202153","195041","Sebastes crameri","57-001","NA","1","0.9500","0","1","0.9500","200406014100","Morning Star"
"darkblotched rockfish","","2004-06-20 00:00:00","2004","375.8000","Sebastes crameri","40.55888889","1","-124.69416667","NA","","Unsatisfactory","Groundfish Triennial Shelf Survey","072253","064805","Sebastes crameri","55-006","NA","5","3.8500","0","5","3.8500","200406014101","Morning Star"
"darkblotched rockfish","3.834211357347","2004-06-20 00:00:00","2004","282.9000","Sebastes crameri","40.57000000","1","-124.67305556","NA","","Satisfactory","Groundfish Triennial Shelf Survey","103636","101148","Sebastes crameri","55-016","NA","23","12.6000","0","23","12.6000","200406014102","Morning Star"
"Pacific halibut","1.763127668693","2004-06-23 00:00:00","2004","68.5000","Hippoglossus stenolepis","40.58416667","2","-124.46055556","NA","","Satisfactory","Groundfish Triennial Shelf Survey","064934","061534","Hippoglossus stenolepis","55-143","NA","2","7.4000","0","2","7.4000","200406014103","Morning Star"
"Pacific halibut","3.596303724509","2004-06-23 00:00:00","2004","92.9000","Hippoglossus stenolepis","40.60000000","2","-124.46472222","NA","","Satisfactory","Groundfish Triennial Shelf Survey","084314","081050","Hippoglossus stenolepis","55-132","NA","3","15.3500","0","3","15.3500","200406014104","Morning Star"
"Pacific halibut","16.895632032670","2004-06-23 00:00:00","2004","71.1000","Hippoglossus stenolepis","40.60111111","2","-124.45694444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","114901","111631","Hippoglossus stenolepis","55-142","NA","7","72.6500","0","7","72.6500","200406014105","Morning Star"
"darkblotched rockfish","1.537294678033","2004-06-23 00:00:00","2004","423.6000","Sebastes crameri","40.90416667","2","-124.48416667","NA","","Satisfactory","Groundfish Triennial Shelf Survey","152231","145207","Sebastes crameri","53-021","NA","5","5.8500","0","5","5.8500","200406014106","Morning Star"
"Pacific halibut","1.671134615611","2004-06-23 00:00:00","2004","197.2000","Hippoglossus stenolepis","40.90194444","2","-124.40750000","NA","","Satisfactory","Groundfish Triennial Shelf Survey","174816","171758","Hippoglossus stenolepis","53-073","NA","","","0","","6.4000","200406014107","Morning Star"
"darkblotched rockfish","77.616369451631","2004-06-23 00:00:00","2004","197.2000","Sebastes crameri","40.90194444","2","-124.40750000","NA","","Satisfactory","Groundfish Triennial Shelf Survey","174816","171758","Sebastes crameri","53-073","NA","158","102.7500","0","457","297.2500","200406014107","Morning Star"
"Pacific halibut","30.257497120089","2004-06-24 00:00:00","2004","97.2000","Hippoglossus stenolepis","40.90611111","2","-124.33111111","NA","","Satisfactory","Groundfish Triennial Shelf Survey","063615","060457","Hippoglossus stenolepis","53-117","NA","9","125.3500","0","9","125.3500","200406014108","Morning Star"
"Pacific halibut","6.394165424813","2004-06-24 00:00:00","2004","80.2000","Hippoglossus stenolepis","40.90222222","2","-124.30083333","NA","","Satisfactory","Groundfish Triennial Shelf Survey","081912","074800","Hippoglossus stenolepis","53-135","NA","1","25.7000","0","1","25.7000","200406014109","Morning Star"
"darkblotched rockfish","0.674905395632","2004-06-24 00:00:00","2004","168.8000","Sebastes crameri","41.24000000","2","-124.37111111","NA","","Satisfactory","Groundfish Triennial Shelf Survey","163141","161317","Sebastes crameri","51-041","NA","6","1.7000","0","6","1.7000","200406014112","Morning Star"
"Pacific halibut","6.530702210678","2004-06-24 00:00:00","2004","168.8000","Hippoglossus stenolepis","41.24000000","2","-124.37111111","NA","","Satisfactory","Groundfish Triennial Shelf Survey","163141","161317","Hippoglossus stenolepis","51-041","NA","3","16.4500","0","3","16.4500","200406014112","Morning Star"
"Pacific halibut","4.469440148066","2004-06-24 00:00:00","2004","249.9000","Hippoglossus stenolepis","41.24166667","2","-124.40194444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","192134","185343","Hippoglossus stenolepis","51-021","NA","1","15.0000","0","1","15.0000","200406014113","Morning Star"
"darkblotched rockfish","2.070840601937","2004-06-24 00:00:00","2004","249.9000","Sebastes crameri","41.24166667","2","-124.40194444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","192134","185343","Sebastes crameri","51-021","NA","11","6.9500","0","11","6.9500","200406014113","Morning Star"
"darkblotched rockfish","0.523607239190","2004-06-25 00:00:00","2004","382.0000","Sebastes crameri","41.59944444","2","-124.51055556","NA","","Satisfactory","Groundfish Triennial Shelf Survey","112739","111027","Sebastes crameri","49-008","NA","1","1.1000","0","1","1.1000","200406014115","Morning Star"
"darkblotched rockfish","4.153788130005","2004-06-25 00:00:00","2004","239.6000","Sebastes crameri","41.57388889","2","-124.49444444","NA","","Satisfactory","Groundfish Triennial Shelf Survey","134054","131124","Sebastes crameri","49-026","NA","31","17.0000","0","31","17.0000","200406014116","Morning Star"
